Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Abdallah Alwan",Killed,"December 18, 2023","Israel and the Occupied Palestinian Territory","Holy Quran Radio,Midan,Mugtama,Al-Jazeera",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdallah-alwan/
"Abdallah Iyad Breis",Killed,"January 8, 2024","Israel and the Occupied Palestinian Territory","Rawafed educational channel",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdallah-iyad-breis/
"Abdel Rahman al-Tanani",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdel-rahman-al-tanani/
"Abdelhalim Awad",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,,https://cpj.org/data/people/abdelhalim-awad/
"Abdul Rahman Bahr",Killed,"October 5, 2024","Israel and the Occupied Palestinian Territory","Palestine Breaking News",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-rahman-bahr/
"Abdul Rahman Saima",Killed,"March 14, 2024","Israel and the Occupied Palestinian Territory","Raqami TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-rahman-saima/
"Abdulhadi Habib",Killed,"October 16, 2023","Israel and the Occupied Palestinian Territory","Al-Manara News Agency,HQ media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdulhadi-habib/
"Abdullah Darwish",Killed,"December 1, 2023","Israel and the Occupied Palestinian Territory","Al Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdullah-darwish/
"Adel Zorob",Killed,"December 19, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adel-zorob/
"Adham Hassouna",Killed,"December 1, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adham-hassouna/
"Ahmad Jamal al Madhoun",Killed,"December 24, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmad-jamal-al-madhoun/
"Ahmad Qalaja",Killed,"June 6, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/ahmad-qalaja/
"Ahmed Abu Al-Rous",Killed,"January 15, 2025","Israel and the Occupied Palestinian Territory","Fourth Estate",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-al-rous/
"Ahmed Abu Aziz",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Unknown,https://cpj.org/data/people/ahmed-abu-aziz/
"Ahmed Abu Mhadi",Killed,"October 25, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-mhadi/
"Ahmed Abu Sharia",Killed,"November 19, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-sharia/
"Ahmed Abu Skheil",Killed,"November 9, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-skheil/
"Ahmed Al Shayyah",Killed,"January 15, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-shayyah/
"Ahmed Al-Helou",Killed,"May 15, 2025","Israel and the Occupied Palestinian Territory","Quds News Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-helou/
"Ahmed Al-Louh",Killed,"December 15, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-louh/
"Ahmed Al-Qara",Killed,"November 10, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-qara/
"Ahmed Bdeir",Killed,"January 10, 2024","Israel and the Occupied Palestinian Territory","Bawabat al-Hadaf",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-bdeir/
"Ahmed Khaireddine",Killed,"December 28, 2023","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-khaireddine/
"Ahmed Mansour",Killed,"April 7, 2025","Israel and the Occupied Palestinian Territory","Palestine Today",Confirmed,Murder,https://cpj.org/data/people/ahmed-mansour/
"Ahmed Shehab",Killed,"October 12, 2023","Israel and the Occupied Palestinian Territory","Sowt Al-Asra Radio (Radio Voice of the Prisoners)",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-shehab/
"Akram ElShafie",Killed,"January 5, 2024","Israel and the Occupied Palestinian Territory",Safa,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/akram-elshafie/
"Alaa Al-Hams",Killed,"February 12, 2024","Israel and the Occupied Palestinian Territory",SND,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/alaa-al-hams/
"AlHassan Hamad",Killed,"October 6, 2024","Israel and the Occupied Palestinian Territory","Freelance, Al Jazeera, Media Town TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/alhassan-hamad/
"Amal Zohud",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/amal-zohud/
"Amjad Juhjouh",Killed,"July 6, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/amjad-juhjouh/
"Amr Abu Odeh",Killed,"October 31, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/amr-abu-odeh/
"Amro Salah Abu Hayah",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory","Al Aqsa TV",Confirmed,,https://cpj.org/data/people/amro-salah-abu-hayah/
"Anas al-Sharif",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory","Al Jazeera",Confirmed,Murder,https://cpj.org/data/people/anas-al-sharif/
"Angam Ahmad Edwan",Killed,"February 12, 2024","Israel and the Occupied Palestinian Territory",February,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/angam-ahmad-edwan/
"Areej Shaheen",Killed,"January 3, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/areej-shaheen/
"Assem Al-Barsh",Killed,"November 22, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,,https://cpj.org/data/people/assem-al-barsh/
"Assem Kamal Moussa",Killed,"December 17, 2023","Israel and the Occupied Palestinian Territory","Palestine Now",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/assem-kamal-moussa/
"Ayat Khadoura",Killed,"November 20, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayat-khadoura/
"Ayman Al Gedi",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/ayman-al-gedi/
"Ayman Al-Gharbawi",Killed,"April 26, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayman-al-gharbawi/
"Ayman Al-Rafati",Killed,"February 14, 2024","Israel and the Occupied Palestinian Territory","Al Mayadeen",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayman-al-rafati/
"Ayman Haniyeh",Killed,"September 2, 2025","Israel and the Occupied Palestinian Territory","Al-Manara Television Production Company",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ayman-haniyeh/
"Bahaaddine Yassine",Killed,"May 10, 2024","Israel and the Occupied Palestinian Territory","Watan Media Agency, Al-Quds News Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/bahaaddine-yassine/
"Bilal Jadallah",Killed,"November 19, 2023","Israel and the Occupied Palestinian Territory","Press House-Palestine",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/bilal-jadallah/
"Bilal Rajab",Killed,"November 1, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/bilal-rajab/
"Duaa Jabbour",Killed,"December 9, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/duaa-jabbour/
"Duaa Sharaf",Killed,"October 26, 2023","Israel and the Occupied Palestinian Territory","Radio Al-Aqsa",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/duaa-sharaf/
"Fadi Hassouna",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/fadi-hassouna/
"Faisal Abu Al Qumsan",Killed,"December 26, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,Murder,https://cpj.org/data/people/faisal-abu-al-qumsan/
"Fatma Hassona",Killed,"April 16, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/fatma-hassona/
"Hamada Al-Yaziji",Killed,"December 3, 2023","Israel and the Occupied Palestinian Territory","Kanaan News Agency, Al-Quds Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hamada-al-yaziji/
"Hamza Al Dahdouh",Killed,"January 7, 2024","Israel and the Occupied Palestinian Territory",Al-Jazeera,Confirmed,Murder,https://cpj.org/data/people/hamza-al-dahdouh/
"Hamza Murtaja",Killed,"August 20, 2024","Israel and the Occupied Palestinian Territory","Record Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/hamza-murtaja/
"Haneen Baroud",Killed,"October 27, 2024","Israel and the Occupied Palestinian Territory","Al Majedat Media Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/haneen-baroud/
